Date,gamma2,gamma2_tstat,gamma2_pvalue,herding_flag
2020-03-26,-0.32680329377961814,-0.14724761617636678,0.8834561820118476,False
2020-03-27,-0.4618393410187715,-0.20985839286073643,0.8345265061210964,False
2020-03-30,-0.4594708125072458,-0.20802771399584677,0.8359488506381463,False
2020-03-31,-0.5611630658046541,-0.2566228652309435,0.7983939331759646,False
2020-04-01,-0.45064587698570474,-0.2010607397100689,0.8413668336140603,False
2020-04-02,-0.5044347631361563,-0.2230330679490294,0.8243071170179965,False
2020-04-03,-0.3854782571771368,-0.17155794310803957,0.8643926891477302,False
2020-04-06,-0.2704475025756978,-0.12192248320440234,0.9033892398597874,False
2020-04-07,-0.20795652892928215,-0.09370787787327597,0.925669830400978,False
2020-04-08,-0.08906058917840962,-0.04015929791985621,0.9681064618901911,False
2020-04-09,-0.17286961764050687,-0.07855037791504518,0.9376653685547743,False
2020-04-10,-0.09859978282167571,-0.04483967546508632,0.9643918216764296,False
2020-04-13,-0.06267898527916628,-0.029049258851614402,0.9769267768163523,False
2020-04-14,-0.22697463773102874,-0.10628604646598794,0.9157285883550575,False
2020-04-15,-0.5840097507820451,-0.2753372260739843,0.7840528348957718,False
2020-04-16,-0.4428898101713143,-0.2076787400344866,0.8362200483402614,False
2020-04-17,0.034913200793717195,0.01641874097857628,0.9869576648571643,False
2020-04-20,-0.18334110696651387,-0.0864298013213876,0.9314276578973798,False
2020-04-21,0.06146654937496654,0.02904230895486382,0.9769322953958219,False
2020-04-22,0.026717067516015207,0.012506698225911432,0.9900650311604232,False
2020-04-24,0.16633225412787336,0.0775593749110672,0.9384501779438311,False
2020-04-27,0.32677799110071587,0.1537027773533307,0.8783869797980965,False
2020-04-28,0.5343896441715427,0.25093050578233805,0.8027702117154488,False
2020-04-29,0.31715362544295084,0.14798008456104975,0.8828807281126767,False
2020-04-30,0.3129145049262823,0.14488684708137284,0.8853113164899732,False
2020-05-04,0.6851061321144857,0.31807564568158975,0.7515899972928346,False
2020-05-05,0.5440165246508316,0.25638618341520325,0.7985757654095599,False
2020-05-06,0.23215727135283679,0.11029802630745576,0.9125604592047954,False
2020-05-07,-0.06329382779466501,-0.03030326750898038,0.9759310475461139,False
2020-05-08,-0.34972339879191555,-0.16774701787338064,0.8673760621916763,False
2020-05-11,-0.4865208935355383,-0.23562681043231543,0.8145668209545573,False
2020-05-12,-0.1677238331835036,-0.08113168391822027,0.9356214372384731,False
2020-05-13,-0.18878392928748378,-0.09129741373702378,0.9275763681070308,False
2020-05-14,-0.22063961082547384,-0.10773738037884556,0.9145823560897516,False
2020-05-15,-0.1157180893399668,-0.056559993556190416,0.955093506044404,False
2020-05-18,-0.31790747426742,-0.15538805088221555,0.8770643770636486,False
2020-05-20,-0.3702217794065721,-0.18312620684579548,0.8553488269609669,False
2020-05-21,-0.5854498945094763,-0.29132087912292526,0.7718634387421344,False
2020-05-22,-0.5369544129030296,-0.2685582264360226,0.78923928009792,False
2020-05-27,-0.5237953755642246,-0.26474349745556885,0.7921620724783593,False
2020-05-28,-0.8521293404220102,-0.4315867191599026,0.6676698980696752,False
2020-05-29,-1.2239706299141715,-0.6223878763235511,0.5361688124170427,False
2020-06-01,-1.2058461086693526,-0.6156693872156287,0.5405634183994554,False
2020-06-02,-1.4970345409327666,-0.7553352257416153,0.4531578421916739,False
2020-06-03,-1.562330752268032,-0.7866953866581365,0.43471889947271586,False
2020-06-04,-1.6201136335955906,-0.8187978128343192,0.4163119923687214,False
2020-06-05,-1.8583456772619773,-0.9256000642146582,0.358556230252652,False
2020-06-08,-2.0163201797498607,-1.005827853387803,0.31874930147432745,False
2020-06-09,-2.0117910931723184,-0.9824257248964301,0.33004188762847136,False
2020-06-10,-1.6130065326681577,-0.803936238627588,0.42477399112378633,False
2020-06-11,-3.6194916509818746,-1.8187136519026454,0.07420990424748383,False
2020-06-12,-3.3170894895298613,-1.6478602141611165,0.1048835562484933,False
2020-06-15,-1.8868718979489265,-0.5170165861091913,0.6071450454258912,False
2020-06-16,-0.293004763070417,-0.08485926311236197,0.9326706352316536,False
2020-06-17,0.15550029007075608,0.04641448566650923,0.9631421280744507,False
2020-06-18,-0.1797266068448782,-0.05961935613303222,0.9526673397775541,False
2020-06-19,-0.1368999450178661,-0.04566178100737812,0.963739426873016,False
2020-06-22,1.4441913058101135,0.572238086170819,0.5694108574171841,False
2020-06-23,9.80504591809573,1.4768123531531023,0.14522983958975721,False
2020-06-24,7.944386141762847,1.359053150000284,0.17948307839723435,False
2020-06-25,7.138260851609196,1.2278578709142671,0.2245467450477986,False
2020-06-26,14.86852771697353,1.8012063303274206,0.0769607042364781,False
2020-06-29,12.9010947386379,1.579923119165989,0.11965835491311763,False
2020-06-30,13.957538238801225,1.6943284135076127,0.09566073434676033,False
2020-07-01,15.121282482111337,2.0975411386446643,0.040391614654018734,False
2020-07-02,15.599815719160732,2.2434173142782834,0.028772492412822058,False
2020-07-03,14.920190875420714,2.135858181904256,0.03699915056950446,False
2020-07-06,19.419241250983706,2.665491717140901,0.009983626090866029,False
2020-07-07,17.446705832679026,2.3944043899295457,0.01995869035905919,False
2020-07-08,16.992572664826422,2.3165117336040444,0.024147747841589073,False
2020-07-09,16.33077682926269,2.054626199215287,0.044509579180009015,False
2020-07-10,17.10847464990408,2.1740969205442098,0.033864576954154624,False
2020-07-13,5.444629629288272,0.8056002393219714,0.4238214305369285,False
2020-07-14,5.503883382099006,0.8335428073887785,0.40801808947881085,False
2020-07-16,0.1548149497116306,0.025113315592300695,0.9800522937408883,False
2020-07-17,-1.8160661137006076,-0.3187274757862016,0.7510981965762258,False
2020-07-20,-2.463607181409592,-0.4509132334773078,0.6537628130980586,False
2020-07-21,-1.589200534542213,-0.2875471133803572,0.7747362933105011,False
2020-07-22,-2.058781539129283,-0.37684129793335314,0.7076908400349816,False
2020-07-23,-1.4120548655677168,-0.2562556817109369,0.798676028928837,False
2020-07-24,-1.6499346483065496,-0.3015421648812229,0.764098496058602,False
2020-07-27,-1.4711383307163448,-0.2625748448156617,0.7938250047513056,False
2020-07-28,-5.134633808349927,-1.22462260645613,0.22575457807573093,False
2020-07-29,-5.193011547007203,-1.2494827893612075,0.21659500618193758,False
2020-07-30,-5.393148171546236,-1.297152768285551,0.19980457509747734,False
2020-08-04,-0.6017913456099718,-0.1514434976325736,0.880160608726742,False
2020-08-05,-0.6665041434501391,-0.15214791182035073,0.8796075475162066,False
2020-08-06,-0.123771340260408,-0.05118342513424519,0.9593583070227572,False
2020-08-07,-0.08799092738365244,-0.036607650367490197,0.9709257499978922,False
2020-08-10,-0.9071492469942913,-0.3598792189429953,0.7202674636120735,False
2020-08-11,-1.4157912629814375,-0.5497901686154255,0.5846111960856676,False
2020-08-12,-1.7789283841099333,-0.6823534938213177,0.4977791740178819,False
2020-08-13,-1.926942149799688,-0.7464619753992894,0.45845622638610267,False
2020-08-14,-1.5020315434339715,-0.579296430527906,0.5646717031895346,False
2020-08-17,-1.188535026658327,-0.4552032155667323,0.6506922498320605,False
2020-08-18,-1.1522356354069312,-0.4230137437196736,0.6738769704933568,False
