ticker,company_name,ipo_date,offer_price,first_day_close,offer_size_tl,oversubscription_ratio,sector,method,notes,ipo_year,ipo_month,ipo_close,price_d1,price_d5,price_d10,price_d30,price_d60,price_d90,price_d180,price_d365,benchmark_ipo,benchmark_d1,benchmark_d5,benchmark_d10,benchmark_d30,benchmark_d60,benchmark_d90,benchmark_d180,benchmark_d365,_cached_at,first_day_bhar,return_d1,benchmark_return_d1,excess_return_d1,bhar_d1,return_d5,benchmark_return_d5,excess_return_d5,bhar_d5,return_d10,benchmark_return_d10,excess_return_d10,bhar_d10,return_d30,benchmark_return_d30,excess_return_d30,bhar_d30,return_d60,benchmark_return_d60,excess_return_d60,bhar_d60,return_d90,benchmark_return_d90,excess_return_d90,bhar_d90,return_d180,benchmark_return_d180,excess_return_d180,bhar_d180,return_d365,benchmark_return_d365,excess_return_d365,bhar_d365,tavan_days,tavan_days_close_to_close,tavan_series_return,actual_compound_from_closes,first_free_day,first_free_close,hit_tavan_day1,ipo_close_yahoo,last_tavan_close_yahoo,total_tavan_days,underpricing,first_day_return
NTGAZ.IS,Naturelgaz Sanayi ve Ticaret A.S.,2021-04-01,8.5,9.35,,,,,,2021,4,1.1422243118286133,1.2558358907699585,1.518486261367798,1.81778621673584,1.2533928155899048,1.104353427886963,0.9614536762237548,0.9272965788841248,0.8779588937759399,1426.5924072265625,1442.09228515625,1420.5924072265625,1375.8927001953125,1421.1923828125,1420.492431640625,1356.2928466796875,1383.792724609375,2251.68798828125,2026-03-13T08:17:48.622205,0.0999999999999999,0.0994652081599118,0.0108649659504502,0.0886002422094616,0.0876479502147515,0.329411609998756,-0.0042058263941447,0.3336174363929008,0.3350264996880268,0.5914441654859404,-0.0355390276679064,0.6269831931538468,0.6500866402481624,0.0973263330241318,-0.0037852608682816,0.1011115938924135,0.1014957819039501,-0.033155382484393,-0.0042759063871624,-0.0288794760972306,-0.0290034923152715,-0.1582619400872834,-0.0492779578741375,-0.1089839822131458,-0.1146328552238593,-0.188165958926584,-0.0300013391353977,-0.1581646197911863,-0.163056534171096,-0.2313603513040313,0.5783681287486699,-0.8097284800527013,-0.513016238293315,7.0,6.0,0.9447063101304244,0.7679148273912946,2021-04-12,1.81778621673584,True,1.1422243118286133,2.019355297088623,7.0,0.9447063101304244,0.1
MTRKS.IS,Matriks Finansal Teknolojiler A.S.,2021-04-06,28.0,30.800000000000004,,,,,,2021,4,5.752678394317627,6.327946186065674,8.416092872619629,8.785908699035645,7.523308277130127,6.544605255126953,5.999747276306152,6.26749324798584,7.421744346618652,1420.5924072265625,1417.8924560546875,1375.8927001953125,1408.092529296875,1427.6923828125,1447.09228515625,1392.592529296875,1394.392578125,2316.3876953125,2026-03-13T08:17:49.372077,0.1,0.099999991711041,-0.0019005811646889,0.1019005728757299,0.1020946119722605,0.4629868551200196,-0.0314655398718607,0.4944523949918803,0.5105160583821284,0.5272727061735587,-0.0087990600724743,0.536071766246033,0.5408305668931563,0.3077922597865874,0.0049978977430964,0.3027943620434909,0.3012885526661002,0.1376622864214998,0.018654103594305,0.1190081828271947,0.1168288454415253,0.0429484954751815,-0.0197100011145011,0.0626584965896827,0.0639183268837995,0.089491332276933,-0.0184428897186017,0.1079342219955348,0.1099622435260967,0.2901371913906561,0.6305786821955552,-0.3404414908048991,-0.2087856872668656,7.0,6.0,0.946428440877466,0.7694804007976961,2021-04-15,9.469505310058594,True,5.752678394317627,10.179251670837402,7.0,0.946428440877466,0.1
TUREX.IS,Tureks Turizm Tasimacilik A.S.,2021-04-08,12.0,13.2,,,,,,2021,4,1.3200000524520874,1.4520000219345093,1.75600004196167,1.409000039100647,0.9890000224113464,0.9359999895095824,1.0520000457763672,1.1330000162124634,1.258999943733215,1416.5924072265625,1393.1925048828125,1378.3927001953125,1377.192626953125,1460.892333984375,1447.09228515625,1390.5926513671875,1391.692626953125,2393.38720703125,2026-03-13T08:17:50.120150,0.0999999999999999,0.0999999729069807,-0.0165184439958723,0.116518416902853,0.118475446937984,0.330303009230682,-0.0269659125916382,0.3572689218223203,0.3671699958363146,0.0674242296303166,-0.0278130675220653,0.095237297152382,0.0979619186092521,-0.2507575885515015,0.0312721757732303,-0.2820297643247319,-0.2734775270294389,-0.2909091270331166,0.0215304541899958,-0.3124395812231125,-0.3058543971367509,-0.2030303000199675,-0.0183537309156399,-0.1846765691043276,-0.1881294463397558,-0.1416666884915989,-0.0175772368582625,-0.1240894516333364,-0.1263096258442798,-0.0462122017385953,0.689538356143726,-0.7357505578823214,-0.4354743147481005,5.0,4.0,0.6091665979557601,0.4628787254143272,2021-04-15,1.7380000352859497,True,1.3200000524520874,1.930999994277954,5.0,0.6091665979557601,0.1
QUAGR.IS,Qua Granite Hayal Yapi ve Urunleri A.S.,2021-04-09,16.46,18.106,,,,,,2021,4,0.8227270245552063,0.9049999713897704,1.0945450067520142,1.1918179988861084,1.159999966621399,1.1909090280532837,1.204545021057129,1.087272047996521,1.359089970588684,1393.1925048828125,1375.8927001953125,1409.1925048828125,1377.192626953125,1460.892333984375,1447.59228515625,1372.99267578125,1371.692626953125,2449.087158203125,2026-03-13T08:17:50.861292,0.100243013365735,0.100000297035391,-0.0124173828289114,0.1124176798643025,0.1138311650181944,0.3303865973574427,0.0114844143533099,0.3189021830041327,0.3152813612140748,0.4486189991515654,-0.0114843267341818,0.4601033258857473,0.4654486907280655,0.4099451361142945,0.0485933055656633,0.3613518305486312,0.3446062726422805,0.4475141723916616,0.0390468510868233,0.4084673213048382,0.393117327556105,0.4640883125339734,-0.0144989504542745,0.4785872629882479,0.4856283645855643,0.3215465343250838,-0.0154320941681321,0.336978628493216,0.3422604235799262,0.6519330592348702,0.7578957320109387,-0.1059626727760685,-0.0602781330237675,6.0,5.0,0.7697238780737821,0.6088398891579836,2021-04-19,1.1918179988861084,True,0.8227270245552063,1.3236360549926758,6.0,0.7697238780737821,0.1
GWIND.IS,Galata Wind Enerji A.S.,2021-04-22,5.06,5.06,,,,,,2021,4,4.771239280700684,4.822727680206299,4.505216598510742,4.299263954162598,3.758637666702272,3.209430694580078,2.960571050643921,3.870195627212525,6.178583145141602,1345.19287109375,1373.99267578125,1391.99267578125,1421.1923828125,1452.1922607421875,1398.4925537109375,1349.0927734375,1429.8924560546875,2472.48681640625,2026-03-13T08:17:51.604030,0.1007905138339922,0.0107914100459982,0.0214094241103757,-0.0106180140643774,-0.0103954533938489,-0.0557554686611472,0.0347904049249443,-0.0905458735860915,-0.0875016555576383,-0.0989209089653482,0.0564971115680654,-0.1554180205334137,-0.1471069052926613,-0.2122303146887458,0.079542043336461,-0.2917723580252069,-0.2702741961984617,-0.3273381388432996,0.0396223350290658,-0.3669604738723655,-0.3529747885438667,-0.3794964208524993,0.0028991399133562,-0.3823955607658555,-0.3812901472813028,-0.1888489762256977,0.0629646400757906,-0.2518136163014883,-0.236897453412499,0.2949640086452008,0.8380165919225542,-0.5430525832773534,-0.2954557568543621,0.0,0.0,0.0,0.0,2021-04-26,4.822728157043457,False,4.771239280700684,4.771239280700684,0.0,0.0,0.0
BIOEN.IS,Biotrend Cevre ve Enerji Yatirimlari A.S.,2021-04-28,18.0,18.0,,,,,,2021,4,5.204999923706055,5.303999900817871,5.423999786376953,5.105999946594238,5.318999767303467,5.964000225067139,8.112000465393066,8.640000343322754,5.840000152587891,1385.8927001953125,1401.4925537109375,1421.1923828125,1460.892333984375,1422.0924072265625,1373.292724609375,1359.5927734375,1492.89208984375,2428.386962890625,2026-03-13T08:17:52.343139,0.1,0.0190201687921114,0.011256176985005,0.0077639918071064,0.0076775717012222,0.0420749021865434,0.025470718340758,0.0166041838457853,0.0161917678865091,-0.0190201687921114,0.0541164794204434,-0.0731366482125548,-0.0693819417876528,0.0219019875635737,0.0261201368808339,-0.0042181493172601,-0.0041107753036426,0.1458213856842214,-0.0090915953191482,0.1549129810033697,0.1563343092778222,0.558501553179116,-0.0189768852625503,0.5774784384416664,0.5886491661271573,0.6599424534037104,0.0772061138884403,0.58273633951527,0.5409701374714073,0.1219981245320949,0.7522185971167861,-0.6302204725846912,-0.3596700055699081,0.0,0.0,0.0,0.0,2021-04-29,5.303999900817871,False,5.204999923706055,5.204999923706055,0.0,0.0,0.0
AYDEM.IS,Aydem Yenilenebilir Enerji A.S.,2021-04-29,9.9,9.9,,,,,,2021,4,8.986138343811035,8.986138343811035,8.543712615966797,8.258594512939453,7.334419250488281,6.134956359863281,6.538054466247559,6.783846378326416,9.320414543151855,1401.4925537109375,1397.7926025390625,1416.29248046875,1460.892333984375,1420.492431640625,1373.292724609375,1360.7928466796875,1509.19189453125,2430.587158203125,2026-03-13T08:17:53.135262,0.1,0.0,-0.0026400077275317,0.0026400077275317,0.0026469958169432,-0.0492342440008112,0.0105601180103487,-0.0597943620111599,-0.0591695248461681,-0.0809629011968927,0.0423832293051833,-0.1233461305020761,-0.1183308854501566,-0.1838074409860751,0.0135568882470182,-0.1973643292330934,-0.1947244713362285,-0.3172866780880833,-0.0201212835750669,-0.2971653945130164,-0.303267526411042,-0.2724289103839058,-0.0290402592032925,-0.2433886511806132,-0.2506681183103473,-0.2450765702935554,0.0768461741271056,-0.321922744420661,-0.2989496105900292,0.0371990933759709,0.7342847464778195,-0.6970856531018486,-0.4019441758440005,0.0,0.0,0.0,0.0,2021-05-03,8.848494529724121,False,8.986138343811035,8.986138343811035,0.0,0.0,0.0
CANTE.IS,Can2 Termik A.S.,2021-04-30,3.9,4.29,,,,,,2021,4,0.2299720048904419,0.2524870038032532,0.25034299492836,0.2728579938411712,0.4642330110073089,0.5097990036010742,0.5843120217323303,0.779977023601532,1.633931040763855,1397.7926025390625,1421.1923828125,1419.992431640625,1460.892333984375,1420.492431640625,1371.692626953125,1391.5926513671875,1519.2919921875,2466.286865234375,2026-03-13T08:17:53.872151,0.1,0.0979032161916289,0.0167405237593418,0.081162692432287,0.0798263573996169,0.0885803037096744,0.0158820622324349,0.0726982414772394,0.0715616941965513,0.1864835199013033,0.0451424133528057,0.1413411065484975,0.1352362173257104,1.018650101469822,0.0162397690904421,1.0024103323793798,0.9863915611928472,1.2167872295757969,-0.0186722805218223,1.235459510097619,1.2589673007041688,1.540796311319263,-0.0044355301069792,1.5452318414262425,1.5521163000044456,2.391617270863517,0.0869223298418779,2.304694941021639,2.1203860457599752,6.104912798156696,0.7644154510149888,5.340497347141707,3.02677997070903,3.0,2.0,0.3282060446467216,0.2074600405879287,2021-05-05,0.25034299492836,True,0.2299720048904419,0.2776820063591003,3.0,0.3282060446467216,0.1
ZRGYO.IS,Ziraat Gayrimenkul Yatirim Ortakligi A.S.,2021-05-06,1.6,1.6,,,,,,2021,5,1.586044192314148,1.586044192314148,1.586044192314148,1.586044192314148,1.6058697700500488,1.586044192314148,1.5761314630508425,2.289851427078247,3.0035712718963623,1427.6923828125,1441.2923583984375,1444.892333984375,1454.2923583984375,1447.09228515625,1392.592529296875,1413.7926025390625,1533.091796875,2458.68701171875,2026-03-13T08:17:54.623771,0.0999999999999999,0.0,0.0095258444673818,-0.0095258444673818,-0.0094359589896458,0.0,0.0120473789584782,-0.0120473789584782,-0.0119039673526712,0.0,0.0186314474365525,-0.0186314474365525,-0.0182906658570571,0.0125000159717958,0.0135882929525286,-0.0010882769807327,-0.0010736874017779,0.0,-0.0245850254145642,0.0245850254145642,0.0252046831913905,-0.0062499704052016,-0.009735836963741,0.0034858665585393,0.0035201380486711,0.443750078449703,0.0738250167412584,0.3699250617084446,0.3444928698262757,0.8937500521432158,0.7221405964744516,0.1716094556687641,0.0996489229857777,0.0,0.0,0.0,0.0,2021-05-07,1.5860443115234375,False,1.5860443115234375,1.5860443115234375,0.0,0.0,0.0
PENTA.IS,Penta Teknoloji Urunleri Dagitim A.S.,2021-05-17,32.0,32.0,,,,,,2021,5,3.5488879680633545,3.553333044052124,3.5444440841674805,3.542222023010254,3.9111111164093018,3.857777118682861,7.983333110809326,19.53333282470703,39.82222366333008,1454.2923583984375,1459.59228515625,1452.1922607421875,1414.9925537109375,1431.29248046875,1363.2928466796875,1455.2923583984375,1702.490966796875,2394.787353515625,2026-03-13T08:17:55.351536,0.1,0.0012525264332858,0.0036443337731961,-0.0023918073399102,-0.0023831224462935,-0.0012521905272482,-0.0014440684117756,0.0001918778845274,0.0001921553700274,-0.001878319381476,-0.0270233178772798,0.0251449984958037,0.0258433721566127,0.1020666618968009,-0.0158151679728389,0.1178818298696399,0.1197761091550602,0.0870382929523889,-0.062573052243061,0.14961134519545,0.1595978711231183,1.2495308904230835,0.000687619648295,1.2488432707747887,1.2479851316774675,4.504071416310858,0.1706662398142353,4.333405176496623,3.7016572521850977,10.221042766549,0.6467028377656625,9.574339928783337,5.814248757701985,0.0,0.0,0.0,0.0,2021-05-18,3.553333044052124,False,3.5488879680633545,3.5488879680633545,0.0,0.0,0.0
